epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1068.27,1.02761,0.3248,0.02805,0.55442,0.86894,0.97072,0.96885,0.98332,0.73389,0.97067,0.96814,0.98471,0.96432,0.96729,0.17703,0.00575,0.49993,0.82265,0.006799,0.006799,0.006799
99,1081.17,1.02856,0.33208,0.02819,0.55336,0.86926,0.9723,0.96826,0.9835,0.72454,0.97065,0.96659,0.98269,0.96108,0.96003,0.17135,0.00604,0.54189,0.82317,0.006766,0.006766,0.006766
100,1090.56,1.0245,0.33916,0.0277,0.54316,0.86661,0.97705,0.97434,0.98582,0.72922,0.97583,0.97309,0.98641,0.96419,0.9602,0.16964,0.00581,0.50603,0.82195,0.006733,0.006733,0.006733
101,1100.58,1.01866,0.31685,0.02875,0.54631,0.87174,0.97304,0.96986,0.98602,0.73863,0.9721,0.9713,0.98796,0.96707,0.92275,0.16409,0.00632,0.47355,0.82109,0.0067,0.0067,0.0067
102,1113.27,1.00495,0.31307,0.0277,0.5405,0.8692,0.9748,0.97179,0.98693,0.74491,0.97395,0.97052,0.98783,0.97094,0.92927,0.16931,0.00601,0.48679,0.8214,0.006667,0.006667,0.006667
103,1122.27,1.01479,0.32395,0.02646,0.54644,0.86523,0.97088,0.97325,0.98575,0.73465,0.97139,0.97371,0.98768,0.96746,0.94497,0.17244,0.00553,0.48576,0.82206,0.006634,0.006634,0.006634
104,1134.19,1.01629,0.32326,0.02762,0.539,0.87002,0.98208,0.97584,0.98821,0.73666,0.9816,0.97445,0.98872,0.96877,0.9484,0.16857,0.00536,0.46991,0.82439,0.006601,0.006601,0.006601
105,1145.69,1.01974,0.3309,0.02719,0.53709,0.86694,0.97694,0.96889,0.98742,0.74342,0.97668,0.96994,0.98903,0.97038,0.93255,0.16981,0.00574,0.44784,0.82104,0.006568,0.006568,0.006568
106,1157.32,1.01491,0.33641,0.02793,0.53212,0.86811,0.96695,0.96167,0.98663,0.73374,0.96667,0.96125,0.98747,0.96733,0.95508,0.17192,0.00596,0.50759,0.82202,0.006535,0.006535,0.006535
107,1168.27,1.01763,0.32557,0.02844,0.54103,0.86948,0.96211,0.96393,0.9842,0.7256,0.96139,0.9631,0.98415,0.96335,0.99034,0.17246,0.00543,0.51398,0.82525,0.006502,0.006502,0.006502
108,1178.87,1.0079,0.31093,0.02525,0.53865,0.86464,0.96881,0.96652,0.98695,0.73559,0.9668,0.96443,0.98521,0.96728,0.97784,0.1763,0.00484,0.49892,0.8221,0.006469,0.006469,0.006469
109,1187.48,1.01397,0.33254,0.02612,0.53376,0.86779,0.96563,0.97518,0.98675,0.73284,0.96478,0.97442,0.98704,0.96837,0.96804,0.17508,0.00508,0.47219,0.82369,0.006436,0.006436,0.006436
110,1196.95,1.00419,0.31895,0.02551,0.52724,0.8684,0.97218,0.96311,0.98226,0.73153,0.97,0.96106,0.98126,0.96179,0.96898,0.17283,0.00517,0.51243,0.82211,0.006403,0.006403,0.006403
111,1209.54,1.01527,0.32545,0.02574,0.54145,0.8663,0.95838,0.96121,0.98532,0.73389,0.95859,0.95934,0.98549,0.96476,0.95339,0.17131,0.00532,0.51518,0.82127,0.00637,0.00637,0.00637
112,1220.17,0.99752,0.32929,0.02471,0.52117,0.86438,0.96354,0.96659,0.9835,0.73443,0.96486,0.96461,0.9842,0.96448,0.96719,0.17212,0.00555,0.51583,0.82348,0.006337,0.006337,0.006337
113,1229.45,1.00816,0.31297,0.02704,0.52401,0.86683,0.96484,0.97349,0.98651,0.73586,0.96279,0.97141,0.98544,0.968,0.95071,0.16898,0.00507,0.49537,0.82107,0.006304,0.006304,0.006304
114,1241.35,1.00745,0.33118,0.02501,0.52651,0.86929,0.97065,0.98097,0.98701,0.74055,0.96865,0.97886,0.98727,0.97083,0.94504,0.15926,0.00516,0.45962,0.81965,0.006271,0.006271,0.006271
115,1253.96,1.01524,0.32659,0.02643,0.52869,0.86807,0.97367,0.97304,0.98641,0.73354,0.9727,0.97147,0.98793,0.96717,0.95726,0.16147,0.0045,0.47603,0.82139,0.006238,0.006238,0.006238
116,1263.42,1.01364,0.32797,0.02647,0.53078,0.87153,0.95519,0.95725,0.98134,0.7351,0.95345,0.95713,0.98172,0.96382,0.97286,0.16709,0.0046,0.48532,0.81998,0.006205,0.006205,0.006205
